t,x,y,yaw,v
4.0200,14.0436,9.2953,0.481415,0.5614
4.0400,14.0538,9.3007,0.481415,0.5767
4.0600,14.0643,9.3061,0.481415,0.5915
4.0800,14.0751,9.3117,0.481415,0.6060
4.1000,14.0861,9.3175,0.481415,0.6202
4.1200,14.0973,9.3234,0.481415,0.6339
4.1400,14.1088,9.3294,0.481415,0.6473
4.1600,14.1205,9.3355,0.481415,0.6604
4.1800,14.1324,9.3417,0.481415,0.6731
4.2000,14.1456,9.3486,0.481415,0.7431
4.2200,14.1600,9.3561,0.481415,0.8131
4.2400,14.1757,9.3643,0.481415,0.8831
4.2600,14.1926,9.3731,0.481415,0.9531
4.2800,14.2107,9.3826,0.481415,1.0231
4.3000,14.2301,9.3927,0.481415,1.0931
4.3200,14.2507,9.4035,0.481415,1.1631
4.3400,14.2726,9.4149,0.481415,1.2331
4.3600,14.2957,9.4270,0.481415,1.3031
4.3800,14.3200,9.4397,0.481415,1.3731
4.4000,14.3456,9.4531,0.481415,1.4431
4.4200,14.3724,9.4671,0.481415,1.5131
4.4400,14.4005,9.4817,0.481415,1.5831
4.4600,14.4298,9.4970,0.481415,1.6531
4.4800,14.4603,9.5130,0.481415,1.7231
4.5000,14.4921,9.5296,0.481415,1.7931
4.5200,14.5251,9.5469,0.481415,1.8631
4.5400,14.5594,9.5648,0.481415,1.9331
4.5600,14.5949,9.5833,0.481415,2.0031
4.5800,14.6317,9.6025,0.481415,2.0731
4.6000,14.6697,9.6224,0.481415,2.1431
4.6200,14.7089,9.6429,0.481415,2.2131
4.6400,14.7494,9.6640,0.481415,2.2831
4.6600,14.7911,9.6858,0.481415,2.3531
4.6800,14.8340,9.7082,0.481415,2.4231
4.7000,14.8782,9.7313,0.481415,2.4931
4.7200,14.9237,9.7551,0.481415,2.5631
4.7400,14.9703,9.7794,0.481415,2.6331
4.7600,15.0183,9.8045,0.481415,2.7031
4.7800,15.0674,9.8302,0.481415,2.7731
4.8000,15.1178,9.8565,0.481415,2.8431
4.8200,15.1695,9.8835,0.481415,2.9131
4.8400,15.2223,9.9111,0.481415,2.9831
4.8600,15.2765,9.9394,0.481415,3.0531
4.8800,15.3318,9.9683,0.481415,3.1231
4.9000,15.3884,9.9979,0.481415,3.1931
4.9200,15.4463,10.0281,0.481415,3.2631
4.9400,15.5054,10.0589,0.481415,3.3331
4.9600,15.5657,10.0905,0.481415,3.4031
4.9800,15.6273,10.1226,0.481415,3.4731
5.0000,15.6901,10.1554,0.481415,3.5431
5.0200,15.7541,10.1889,0.481415,3.6131
5.0400,15.8194,10.2230,0.481415,3.6831
5.0600,15.8859,10.2578,0.481415,3.7531
5.0800,15.9537,10.2932,0.481415,3.8231
5.1000,16.0227,10.3292,0.481415,3.8931
5.1200,16.0930,10.3659,0.481415,3.9631
5.1400,16.1645,10.4033,0.481415,4.0331
5.1600,16.2372,10.4413,0.481415,4.1031
5.1800,16.3112,10.4799,0.481415,4.1731
5.2000,16.3864,10.5192,0.481415,4.2431
5.2200,16.4629,10.5591,0.481415,4.3131
5.2400,16.5406,10.5997,0.481415,4.3831
5.2600,16.6195,10.6410,0.481415,4.4531
5.2800,16.6997,10.6829,0.481415,4.5231
5.3000,16.7811,10.7254,0.481415,4.5931
5.3200,16.8638,10.7686,0.481415,4.6631
5.3400,16.9477,10.8124,0.481415,4.7331
5.3600,17.0328,10.8569,0.481415,4.8031
5.3800,17.1192,10.9020,0.481415,4.8731
5.4000,17.2068,10.9478,0.481415,4.9431
5.4200,17.2957,10.9942,0.481415,5.0131
5.4400,17.3858,11.0413,0.481415,5.0831
5.4600,17.4771,11.0890,0.481415,5.1531
5.4800,17.5697,11.1374,0.481415,5.2231
5.5000,17.6636,11.1864,0.481415,5.2931
5.5200,17.7586,11.2361,0.481415,5.3631
5.5400,17.8549,11.2864,0.481415,5.4331
5.5600,17.9525,11.3373,0.481415,5.5031
5.5800,18.0513,11.3890,0.481415,5.5731
5.6000,18.1513,11.4412,0.481415,5.6431
5.6200,18.2526,11.4941,0.481415,5.7131
5.6400,18.3551,11.5477,0.481415,5.7831
5.6600,18.4589,11.6019,0.481415,5.8531
5.6800,18.5639,11.6567,0.481415,5.9231
5.7000,18.6701,11.7122,0.481415,5.9931
5.7200,18.7776,11.7684,0.481415,6.0631
5.7400,18.8863,11.8252,0.481415,6.1331
5.7600,18.9963,11.8826,0.481415,6.2031
5.7800,19.1075,11.9407,0.481415,6.2728
5.8000,19.2199,11.9994,0.481415,6.3407
5.8200,19.3335,12.0588,0.481415,6.4072
5.8400,19.4482,12.1187,0.481415,6.4721
5.8600,19.5640,12.1792,0.481415,6.5355
5.8800,19.6810,12.2403,0.481415,6.5975
5.9000,19.7990,12.3020,0.481415,6.6580
5.9200,19.9181,12.3642,0.481415,6.7172
5.9400,20.0382,12.4269,0.481415,6.7750
5.9600,20.1593,12.4902,0.481415,6.8315
5.9800,20.2814,12.5540,0.481415,6.8868
6.0000,20.4044,12.6183,0.481415,6.9407
6.0200,20.5284,12.6830,0.481415,6.9934
6.0400,20.6533,12.7483,0.481415,7.0450
6.0600,20.7790,12.8140,0.481415,7.0953
6.0800,20.9057,12.8801,0.481415,7.1445
6.1000,21.0332,12.9467,0.481415,7.1926
6.1200,21.1615,13.0138,0.481415,7.2396
6.1400,21.2907,13.0812,0.481415,7.2855
6.1600,21.4206,13.1491,0.481415,7.3303
6.1800,21.5513,13.2174,0.481415,7.3741
6.2000,21.6828,13.2861,0.481415,7.4170
6.2200,21.8150,13.3552,0.481415,7.4588
6.2400,21.9480,13.4246,0.481415,7.4997
6.2600,22.0816,13.4945,0.481415,7.5397
6.2800,22.2160,13.5646,0.481415,7.5787
6.3000,22.3510,13.6352,0.481415,7.6169
6.3200,22.4867,13.7061,0.481415,7.6542
6.3400,22.6230,13.7773,0.481415,7.6906
6.3600,22.7600,13.8488,0.481415,7.7262
6.3800,22.8976,13.9207,0.481415,7.7610
6.4000,23.0357,13.9929,0.481415,7.7950
6.4200,23.1745,14.0654,0.481415,7.8282
6.4400,23.3139,14.1382,0.481415,7.8607
6.4600,23.4538,14.2113,0.481415,7.8924
6.4800,23.5942,14.2846,0.481415,7.9234
6.5000,23.7352,14.3583,0.481415,7.9537
6.5200,23.8767,14.4322,0.481415,7.9833
6.5400,24.0185,14.5063,0.481415,8.0000
6.5600,24.1604,14.5804,0.481415,8.0000
6.5800,24.3022,14.6545,0.481415,8.0000
6.6000,24.4440,14.7286,0.481415,8.0000
6.6200,24.5858,14.8027,0.481415,8.0000
6.6400,24.7276,14.8767,0.481415,8.0000
6.6600,24.8694,14.9508,0.481415,8.0000
6.6800,24.1692,14.5850,-0.007277,0.0000
6.7000,24.1698,14.5850,-0.007277,0.0300
6.7200,24.1710,14.5850,-0.007277,0.0578
6.7400,24.1727,14.5850,-0.007277,0.0850
6.7600,24.1749,14.5850,-0.007277,0.1116
6.7800,24.1777,14.5850,-0.007277,0.1376
6.8000,24.1809,14.5849,-0.007277,0.1629
6.8200,24.1847,14.5849,-0.007277,0.1877
6.8400,24.1889,14.5849,-0.007277,0.2119
6.8600,24.1936,14.5849,-0.007277,0.2356
6.8800,24.1988,14.5848,-0.007277,0.2587
6.9000,24.2044,14.5848,-0.007277,0.2812
6.9200,24.2105,14.5847,-0.007277,0.3032
6.9400,24.2170,14.5847,-0.007277,0.3247
6.9600,24.2239,14.5846,-0.007277,0.3457
6.9800,24.2312,14.5846,-0.007277,0.3662
7.0000,24.2389,14.5845,-0.007277,0.3862
7.0200,24.2471,14.5845,-0.007277,0.4057
7.0400,24.2556,14.5844,-0.007277,0.4248
7.0600,24.2644,14.5843,-0.007277,0.4434
7.0800,24.2737,14.5843,-0.007277,0.4615
7.1000,24.2832,14.5842,-0.007277,0.4792
7.1200,24.2932,14.5841,-0.007277,0.4965
7.1400,24.3034,14.5841,-0.007277,0.5133
7.1600,24.3140,14.5840,-0.007277,0.5298
7.1800,24.3249,14.5839,-0.007277,0.5458
7.2000,24.3362,14.5838,-0.007277,0.5614
7.2200,24.3477,14.5837,-0.007277,0.5767
7.2400,24.3595,14.5836,-0.007277,0.5915
7.2600,24.3717,14.5836,-0.007277,0.6060
7.2800,24.3841,14.5835,-0.007277,0.6202
7.3000,24.3967,14.5834,-0.007277,0.6339
7.3200,24.4097,14.5833,-0.007277,0.6473
7.3400,24.4229,14.5832,-0.007277,0.6604
7.3600,24.4364,14.5831,-0.007277,0.6731
7.3800,24.4501,14.5830,-0.007277,0.6856
7.4000,24.4652,14.5829,-0.007277,0.7556
7.4200,24.4817,14.5828,-0.007277,0.8256
7.4400,24.4996,14.5826,-0.007277,0.8956
7.4600,24.5189,14.5825,-0.007277,0.9656
7.4800,24.5396,14.5823,-0.007277,1.0356
7.5000,24.5617,14.5822,-0.007277,1.1056
7.5200,24.5852,14.5820,-0.007277,1.1756
7.5400,24.6101,14.5818,-0.007277,1.2456
7.5600,24.6365,14.5816,-0.007277,1.3156
7.5800,24.6642,14.5814,-0.007277,1.3856
7.6000,24.6933,14.5812,-0.007277,1.4556
7.6200,24.7238,14.5810,-0.007277,1.5256
7.6400,24.7557,14.5808,-0.007277,1.5956
7.6600,24.7890,14.5805,-0.007277,1.6656
7.6800,24.8237,14.5803,-0.007277,1.7356
7.7000,24.8598,14.5800,-0.007277,1.8056
7.7200,24.8973,14.5797,-0.007277,1.8756
7.7400,24.9363,14.5795,-0.007277,1.9456
7.7600,24.9766,14.5792,-0.007277,2.0156
7.7800,24.0683,14.5858,0.481415,0.0000
7.8000,24.0683,14.5858,0.481415,0.0000
7.8200,24.0688,14.5860,0.481415,0.0300
7.8400,24.0699,14.5866,0.481415,0.0578
7.8600,24.0714,14.5874,0.481415,0.0850
7.8800,24.0733,14.5884,0.481415,0.1116
7.9000,24.0758,14.5897,0.481415,0.1376
7.9200,24.0787,14.5912,0.481415,0.1629
7.9400,24.0820,14.5929,0.481415,0.1877
7.9600,24.0857,14.5949,0.481415,0.2119
7.9800,24.0899,14.5971,0.481415,0.2356
8.0000,24.0945,14.5995,0.481415,0.2587
8.0200,24.0995,14.6021,0.481415,0.2812
8.0400,24.1049,14.6049,0.481415,0.3032
8.0600,24.1106,14.6079,0.481415,0.3247
8.0800,24.1168,14.6111,0.481415,0.3457
8.1000,24.1232,14.6145,0.481415,0.3662
8.1200,24.1301,14.6181,0.481415,0.3862
8.1400,24.1373,14.6218,0.481415,0.4057
8.1600,24.1448,14.6257,0.481415,0.4248
8.1800,24.1527,14.6298,0.481415,0.4434
8.2000,24.1609,14.6341,0.481415,0.4615
8.2200,24.1694,14.6386,0.481415,0.4792
8.2400,24.1782,14.6432,0.481415,0.4965
8.2600,24.1873,14.6479,0.481415,0.5133
8.2800,24.1966,14.6528,0.481415,0.5298
8.3000,24.2063,14.6579,0.481415,0.5458
8.3200,24.2163,14.6631,0.481415,0.5614
