t,zx,zy,xhat,yhat,vxhat,vyhat
2.4400,67.5401,52.2792,68.0761,52.3627,-1.6252,0.2386
2.4600,68.2987,53.4525,68.2605,53.2898,-1.5615,0.5098
2.4800,69.2475,56.0126,69.0947,55.6057,-1.3069,1.1880
2.5000,70.7108,53.9631,70.4645,54.2131,-0.8963,0.7714
2.5200,65.1915,51.4334,65.9798,51.8527,-2.2101,0.0727
2.5400,66.5069,56.4358,66.4212,55.7485,-2.0673,1.2181
2.5600,64.7617,53.6725,65.0044,53.9875,-2.4718,0.6930
2.5800,68.9072,53.9943,68.3144,53.9954,-1.4838,0.6912
2.6000,68.9657,54.5881,68.8635,54.5013,-1.3135,0.8359
2.6200,71.0204,50.5648,70.6929,51.1578,-0.7677,-0.1524
2.6400,70.4660,52.7440,70.4978,52.5056,-0.8206,0.2449
2.6600,65.9451,53.2019,66.6256,53.0982,-1.9547,0.4178
2.6800,62.3921,52.1100,63.0213,52.2594,-3.0033,0.1686
2.7000,69.3025,55.7923,68.3513,55.2629,-1.4179,1.0510
2.7200,65.2741,51.7947,65.7314,52.3180,-2.1801,0.1787
2.7400,70.2312,51.5831,69.5497,51.6939,-1.0443,-0.0059
2.7600,70.9520,54.0464,70.7385,53.6935,-0.6885,0.5822
2.7800,71.5649,58.7792,71.4389,58.0180,-0.4785,1.8507
2.8000,70.8036,55.3076,70.8974,55.7198,-0.6349,1.1639
2.8200,65.2826,54.2293,66.1229,54.4564,-2.0354,0.7854
2.8400,66.6169,55.2434,66.5367,55.1277,-1.9018,0.9783
2.8600,67.2230,53.6268,67.1144,53.8549,-1.7207,0.5982
2.8800,68.7013,53.0419,68.4581,53.1657,-1.3153,0.3919
2.9000,67.9201,51.4825,67.9969,51.7361,-1.4433,-0.0308
2.9200,68.0955,55.1758,68.0764,54.6597,-1.4114,0.8292
2.9400,66.1335,55.0157,66.4207,54.9648,-1.8900,0.9141
2.9600,72.1605,58.1869,71.2938,57.7064,-0.4456,1.7150
2.9800,69.6715,50.9451,69.9135,51.9644,-0.8490,0.0161
3.0000,67.3673,55.8034,67.7467,55.2276,-1.4813,0.9758
3.0200,68.4841,55.1876,68.3690,55.1966,-1.2896,0.9610
3.0400,65.8684,55.1998,66.2397,55.2022,-1.9083,0.9570
3.0600,68.4864,55.9665,68.1436,55.8547,-1.3370,1.1432
3.0800,64.4062,54.0354,64.9628,54.3118,-2.2647,0.6827
3.1000,64.1691,55.9323,64.2813,55.6912,-2.4518,1.0844
3.1200,66.4703,54.0050,66.1346,54.2612,-1.8923,0.6575
3.1400,66.8796,54.9032,66.7621,54.8089,-1.6966,0.8147
3.1600,68.6339,52.9137,68.3481,53.2004,-1.2202,0.3368
3.1800,66.3452,55.2070,66.6420,54.9070,-1.7148,0.8367
3.2000,69.6274,55.9536,69.1744,55.7991,-0.9599,1.0942
3.2200,70.5607,56.0848,70.3499,56.0452,-0.6085,1.1602
3.2400,65.6280,51.4589,66.3344,52.1503,-1.7860,0.0078
3.2600,66.5710,53.0887,66.5301,52.9479,-1.7179,0.2423
3.2800,66.6214,51.7474,66.6025,51.9282,-1.6865,-0.0590
3.3000,69.3596,52.1765,68.9410,52.1391,-0.9888,0.0033
3.3200,69.6544,52.8740,69.5444,52.7638,-0.8055,0.1871
3.3400,67.4838,56.8103,67.7905,56.2039,-1.3166,1.1978
3.3600,67.3041,54.0062,67.3731,54.3394,-1.4316,0.6423
3.3800,65.5507,55.3137,65.8198,55.1695,-1.8801,0.8827
3.4000,62.8897,51.5536,63.3236,52.0986,-2.6032,-0.0257
3.4200,66.3129,56.2179,65.8567,55.5999,-1.8428,1.0043
3.4400,69.3541,51.1350,68.8239,51.8077,-0.9593,-0.1170
3.4600,69.6066,55.4943,69.4863,54.9410,-0.7588,0.8052
3.4800,68.1197,54.6753,68.3224,54.7176,-1.0967,0.7348
3.5000,66.2938,52.2624,66.5948,52.6328,-1.5983,0.1173
3.5200,68.0720,55.0934,67.8456,54.7247,-1.2211,0.7319
3.5400,68.6010,51.4993,68.4840,51.9853,-1.0261,-0.0782
3.5600,64.7285,54.0140,65.2887,53.7094,-1.9599,0.4294
3.5800,68.4951,57.2015,68.0083,56.6790,-1.1485,1.3003
3.6000,66.2396,52.9705,66.5015,53.5306,-1.5849,0.3667
3.6200,68.8886,53.3290,68.5258,53.3603,-0.9802,0.3144
3.6400,66.8344,52.5462,67.0852,52.6693,-1.3981,0.1093
3.6600,69.7859,55.7085,69.3766,55.2529,-0.7160,0.8686
3.6800,67.6978,52.3635,67.9475,52.7995,-1.1321,0.1419
3.7000,65.7521,53.6978,66.0780,53.5635,-1.6753,0.3657
3.7200,64.8851,52.8728,65.0590,52.9775,-1.9651,0.1912
3.7400,68.9450,55.1924,68.3562,54.8607,-0.9838,0.7440
3.7600,69.9883,56.6201,69.7405,56.3584,-0.5708,1.1801
3.7800,66.6020,58.3246,67.0710,58.0332,-1.3526,1.6658
3.8000,66.1514,54.9907,66.2853,55.4521,-1.5758,0.8968
3.8200,68.6655,48.5712,68.3037,49.6060,-0.9728,-0.8279
3.8400,67.6050,51.9849,67.7069,51.6256,-1.1427,-0.2291
3.8600,69.9366,55.2157,69.5987,54.6765,-0.5795,0.6696
3.8800,66.0564,54.5898,66.5860,54.6048,-1.4622,0.6446
3.9000,63.6079,51.8257,64.0502,52.2445,-2.1994,-0.0534
3.9200,66.2442,52.4281,65.9085,52.4004,-1.6399,-0.0072
3.9400,62.7578,52.9244,63.2255,52.8457,-2.4194,0.1238
3.9600,65.8563,54.2845,65.4544,54.0691,-1.7496,0.4829
3.9800,67.3397,54.7572,67.0517,54.6554,-1.2695,0.6525
4.0000,67.1224,52.8739,67.1080,53.1431,-1.2455,0.2038
4.0200,70.1957,55.2880,69.7288,54.9669,-0.4673,0.7391
4.0400,67.2067,52.2469,67.5837,52.6571,-1.0955,0.0554
4.0600,65.1021,55.4001,65.4711,54.9889,-1.7104,0.7408
4.0800,67.2659,59.1343,66.9915,58.5147,-1.2532,1.7735
4.1000,65.9959,51.2751,66.1415,52.3664,-1.4958,-0.0453
4.1200,69.6244,54.2311,69.0975,53.9513,-0.6176,0.4212
4.1400,66.8581,54.3161,67.1921,54.2626,-1.1744,0.5102
4.1600,66.6402,52.4582,66.7195,52.7304,-1.3065,0.0566
4.1800,70.5154,55.0785,69.9421,54.7264,-0.3510,0.6433
4.2000,66.7342,54.0452,67.2143,54.1494,-1.1512,0.4698
4.2200,67.2316,52.4806,67.2256,52.7324,-1.1411,0.0503
4.2400,66.9871,52.4692,67.0195,52.5088,-1.1950,-0.0158
4.2600,65.6260,54.5467,65.8315,54.2410,-1.5374,0.4938
4.2800,65.3404,52.6451,65.4095,52.8859,-1.6525,0.0923
4.3000,67.2112,56.1450,66.9360,55.6564,-1.1938,0.9067
4.3200,67.6433,53.5550,67.5337,53.8729,-1.0110,0.3768
4.3400,64.1328,53.0398,64.6399,53.1659,-1.8561,0.1666
4.3600,63.9679,57.6176,64.0631,56.9503,-2.0148,1.2787
4.3800,67.5473,52.3717,67.0187,53.0623,-1.1337,0.1276
4.4000,67.2179,52.6002,67.1846,52.6699,-1.0782,0.0115
4.4200,63.1772,54.7416,63.7751,54.4309,-2.0747,0.5293
4.4400,66.2328,52.7300,65.8579,52.9867,-1.4499,0.1015
4.4600,64.5533,53.8942,64.7446,53.7583,-1.7688,0.3278
4.4800,67.1603,56.8404,66.7926,56.3791,-1.1560,1.0967
4.5000,62.6833,55.8236,63.2962,55.9102,-2.1776,0.9523
4.5200,66.8598,54.8746,66.3188,55.0328,-1.2758,0.6887
4.5400,65.4051,54.3997,65.5383,54.4967,-1.4978,0.5269
4.5600,63.9540,52.8087,64.1872,53.0634,-1.8864,0.1023
4.5800,64.2259,54.3633,64.2144,54.1686,-1.8673,0.4267
4.6000,62.3612,51.5690,62.6336,51.9602,-2.3213,-0.2253
4.6200,65.9641,53.6799,65.4575,53.4212,-1.4771,0.2057
4.6400,62.5360,54.0108,62.9698,53.9230,-2.2001,0.3521
4.6600,65.0055,56.5386,64.6936,56.1473,-1.6801,1.0043
4.6800,70.0911,53.4692,69.2764,53.8739,-0.3223,0.3297
4.7000,64.4561,56.2553,65.1782,55.8990,-1.5258,0.9234
4.7200,62.9480,52.6375,63.2779,53.1295,-2.0757,0.1034
4.7400,68.8848,53.3154,68.0375,53.2878,-0.6636,0.1493
4.7600,68.4477,56.8481,68.3842,56.3145,-0.5578,1.0387
4.7800,62.9388,54.3202,63.7539,54.6224,-1.9163,0.5349
4.8000,64.0133,53.7879,63.9686,53.9147,-1.8419,0.3236
4.8200,65.0802,58.8010,64.9079,58.0690,-1.5548,1.5435
4.8400,62.0936,54.2601,62.5110,54.8361,-2.2506,0.5836
4.8600,64.2295,54.4171,63.9650,54.4817,-1.8098,0.4759
4.8800,64.7982,51.6669,64.6678,52.0905,-1.5924,-0.2302
4.9000,65.5836,54.7375,65.4415,54.3398,-1.3555,0.4327
4.9200,64.8977,51.3419,64.9752,51.7929,-1.4847,-0.3189
4.9400,63.5156,52.8407,63.7301,52.6826,-1.8422,-0.0553
4.9600,63.9097,54.3487,63.8772,54.0986,-1.7880,0.3615
4.9800,63.5264,53.8745,63.5736,53.9092,-1.8668,0.3036
5.0000,63.4979,53.9338,63.5037,53.9310,-1.8764,0.3082
5.0200,64.0077,54.6964,63.9265,54.5825,-1.7410,0.4981
5.0400,66.6077,55.7928,66.2003,55.6128,-1.0620,0.7982
5.0600,64.1611,55.3827,64.4638,55.4196,-1.5665,0.7366
5.0800,66.8445,52.2218,66.4827,52.7037,-0.9635,-0.0665
5.1000,65.8581,55.1630,65.9489,54.7939,-1.1148,0.5487
5.1200,68.8610,55.2594,68.4209,55.1912,-0.3812,0.6623
5.1400,63.0713,54.8814,63.8726,54.9298,-1.7167,0.5815
5.1600,62.7010,51.1878,62.8716,51.7509,-2.0010,-0.3569
5.1800,60.8715,54.3344,61.1655,53.9458,-2.4910,0.2908
5.2000,62.9399,57.7913,62.6663,57.2154,-2.0350,1.2507
5.2200,63.3589,53.5315,63.2489,54.0879,-1.8516,0.3235
5.2400,65.7085,52.8182,65.3340,53.0096,-1.2275,0.0045
5.2600,65.7546,55.1401,65.6879,54.8205,-1.1162,0.5371
5.2800,64.8497,54.3597,64.9721,54.4304,-1.3201,0.4192
5.3000,66.4862,55.9776,66.2551,55.7468,-0.9350,0.8039
5.3200,64.6677,53.0230,64.9030,53.4340,-1.3272,0.1189
5.3400,62.1858,56.3899,62.5894,55.9469,-1.9999,0.8573
5.3600,66.0619,55.1848,65.5350,55.3017,-1.1217,0.6625
5.3800,64.1944,52.0720,64.3922,52.5585,-1.4513,-0.1482
5.4000,64.0327,52.7894,64.0823,52.7543,-1.5339,-0.0898
5.4200,65.0415,55.2410,64.8930,54.8677,-1.2864,0.5323
5.4400,64.9438,53.4973,64.9323,53.7045,-1.2673,0.1871
5.4600,65.4399,55.6260,65.3599,55.3383,-1.1340,0.6665
5.4800,65.9697,55.5620,65.8748,55.5305,-0.9759,0.7191
5.5000,64.3847,56.1272,64.6053,56.0398,-1.3436,0.8647
5.5200,68.1330,53.9157,67.5998,54.2369,-0.4550,0.3293
5.5400,63.4569,55.0579,64.0770,54.9358,-1.4884,0.5330
5.5600,64.9841,59.1128,64.8436,58.4878,-1.2542,1.5745
5.5800,64.4231,54.8074,64.4824,55.3642,-1.3530,0.6466
5.6000,62.2794,52.7951,62.6058,53.1824,-1.8970,0.0011
5.6200,67.0748,54.4101,66.3988,54.2260,-0.7703,0.3080
5.6400,66.8341,54.7406,66.7665,54.6643,-0.6576,0.4351
