t,steer_rad,accel,v_ref,cte,wp_idx
3.8000,0.270136,1.407821,8.0000,1.3306,1
3.8200,0.269719,1.407821,8.0000,1.1880,1
3.8400,0.269263,1.407821,8.0000,1.0521,1
3.8600,0.269827,1.407821,8.0000,1.6219,2
3.8800,0.269511,1.407821,8.0000,1.4635,1
3.9000,0.269169,1.407821,8.0000,1.3059,1
3.9200,0.268796,1.407821,8.0000,1.1496,1
3.9400,0.268390,1.407821,8.0000,1.8919,2
3.9600,0.267945,1.407821,8.0000,1.7319,2
3.9800,0.267457,1.407821,8.0000,1.5719,1
4.0000,0.241784,1.407821,8.0000,1.4119,1
4.0200,0.241475,1.407821,8.0000,1.2520,1
4.0400,0.241139,1.407821,8.0000,1.0921,1
4.0600,0.240774,1.407821,8.0000,1.9045,2
4.0800,0.240376,1.407821,8.0000,1.7451,2
4.1000,0.239940,1.407821,8.0000,1.5857,2
4.1200,0.201587,1.407821,8.0000,1.4261,1
4.1400,0.201326,1.407821,8.0000,1.2665,1
4.1600,0.201043,1.407821,8.0000,1.1068,1
4.1800,0.200737,1.407821,8.0000,1.9440,2
4.2000,0.200403,1.407821,8.0000,1.7851,2
4.2200,0.200039,1.407821,8.0000,1.6262,2
4.2400,0.158132,1.407821,8.0000,1.4673,1
4.2600,0.157925,1.407821,8.0000,1.3085,1
4.2800,0.157702,1.407821,8.0000,1.1497,1
4.3000,0.157461,1.407821,8.0000,1.9909,2
4.3200,0.157198,1.407821,8.0000,1.8322,2
4.3400,0.156912,1.407821,8.0000,1.6734,2
4.3600,0.156600,1.407821,8.0000,1.5147,2
4.3800,0.113920,1.407821,8.0000,1.3561,1
4.4000,0.113759,1.407821,8.0000,1.1977,1
4.4200,0.113584,1.407821,8.0000,1.0396,1
4.4400,0.113395,1.407821,8.0000,1.8779,2
4.4600,0.113190,1.407821,8.0000,1.7189,2
4.4800,0.112965,1.407821,8.0000,1.5601,2
4.5000,0.076648,1.407821,8.0000,1.4013,1
4.5200,0.076540,1.407821,8.0000,1.2427,1
4.5400,0.076423,1.407821,8.0000,1.0845,1
4.5600,0.076297,1.407821,8.0000,1.9206,2
4.5800,0.076160,1.407821,8.0000,1.7613,2
4.6000,0.076011,1.407821,8.0000,1.6021,2
4.6200,0.047173,1.407821,8.0000,1.4430,1
4.6400,0.047107,1.407821,8.0000,1.2841,1
4.6600,0.047037,1.407821,8.0000,1.1254,1
4.6800,0.046960,1.407821,8.0000,1.9609,2
4.7000,0.046877,1.407821,8.0000,1.8013,2
4.7200,0.046787,1.407821,8.0000,1.6418,2
4.7400,0.025242,1.407821,8.0000,1.4824,1
4.7600,0.025207,1.407821,8.0000,1.3231,1
4.7800,0.025170,1.407821,8.0000,1.1639,1
4.8000,0.025130,1.407821,8.0000,1.0050,1
4.8200,0.025086,1.407821,8.0000,1.8403,2
4.8400,0.025039,1.407821,8.0000,1.6805,2
4.8600,0.024987,1.407821,8.0000,1.5209,2
4.8800,0.008732,1.407821,8.0000,1.3612,1
4.9000,0.008719,1.407821,8.0000,1.2017,1
4.9200,0.008705,1.407821,8.0000,1.0423,1
4.9400,0.008690,1.407821,8.0000,1.8789,2
4.9600,0.008674,1.407821,8.0000,1.7191,2
4.9800,0.008657,1.407821,8.0000,1.5592,2
5.0000,-0.001674,1.407821,8.0000,1.3994,1
5.0200,-0.001672,1.407821,8.0000,1.2396,1
5.0400,-0.001669,1.407821,8.0000,1.0799,1
5.0600,-0.001666,1.407821,8.0000,1.9179,2
5.0800,-0.001663,1.407821,8.0000,1.7579,2
5.1000,-0.001660,1.407821,8.0000,1.5980,2
5.1200,-0.007540,1.407821,8.0000,1.4380,1
5.1400,-0.007529,1.407821,8.0000,1.2781,1
5.1600,-0.007518,1.407821,8.0000,1.1183,1
5.1800,-0.007506,1.407821,8.0000,1.9571,2
5.2000,-0.007492,1.407821,8.0000,1.7971,2
5.2200,-0.007478,1.407821,8.0000,1.6371,2
5.2400,-0.010211,1.407821,8.0000,1.4772,1
5.2600,-0.010197,1.407821,8.0000,1.3172,1
5.2800,-0.010182,1.407821,8.0000,1.1572,1
5.3000,-0.010165,1.407821,8.0000,1.9967,2
5.3200,-0.010148,1.407821,8.0000,1.8367,2
5.3400,-0.010128,1.407821,8.0000,1.6767,2
5.3600,-0.010108,1.407821,8.0000,1.5167,2
5.3800,-0.010816,1.407821,8.0000,1.3567,1
5.4000,-0.010800,1.407821,8.0000,1.1967,1
5.4200,-0.010783,1.407821,8.0000,1.0367,1
5.4400,-0.010765,1.407821,8.0000,1.8765,2
5.4600,-0.010745,1.407821,8.0000,1.7165,2
5.4800,-0.010723,1.407821,8.0000,1.5565,2
5.5000,-0.010058,1.407821,8.0000,1.3965,1
5.5200,-0.010044,1.407821,8.0000,1.2365,1
5.5400,-0.010028,1.407821,8.0000,1.0765,1
5.5600,-0.010012,1.407821,8.0000,1.9164,2
5.5800,-0.009993,1.407821,8.0000,1.7564,2
5.6000,-0.009974,1.407821,8.0000,1.5964,2
5.6200,-0.008600,1.407821,8.0000,1.4364,1
5.6400,-0.008588,1.407821,8.0000,1.2764,1
5.6600,-0.008575,1.407821,8.0000,1.1164,1
5.6800,-0.008561,1.407821,8.0000,1.9564,2
5.7000,-0.008546,1.407821,8.0000,1.7964,2
5.7200,-0.008530,1.407821,8.0000,1.6364,2
5.7400,-0.248573,1.407821,8.0000,1.4764,1
5.7600,-0.248292,1.407821,8.0000,1.3164,1
5.7800,-0.247987,1.407821,8.0000,1.1565,1
5.8000,-0.247658,1.407821,8.0000,1.9967,2
5.8200,-0.247299,1.407821,8.0000,1.8370,2
5.8400,-0.246908,1.407821,8.0000,1.6776,2
5.8600,-0.246480,1.407821,8.0000,1.5187,2
5.8800,-0.326295,1.407821,8.0000,1.3603,1
5.9000,-0.513397,1.407821,8.0000,1.2029,1
5.9200,-0.311227,1.407821,8.0000,1.0477,1
5.9400,-0.310883,1.407821,8.0000,1.8895,2
5.9600,-0.310509,1.407821,8.0000,1.7359,2
5.9800,-0.310101,1.407821,8.0000,1.5845,2
6.0000,-0.469454,1.407821,8.0000,1.4363,1
6.0200,-0.294119,1.407821,8.0000,1.2931,1
6.0400,-0.293598,1.407821,8.0000,1.1560,1
6.0600,-0.493130,1.407821,8.0000,1.0273,1
6.0800,-0.279083,1.407821,8.0000,1.8920,2
6.1000,-0.278781,1.407821,8.0000,1.7322,2
6.1200,-0.278453,1.407821,8.0000,1.5727,2
6.1400,-0.278097,1.407821,8.0000,1.4135,2
6.1600,-0.408335,1.407821,8.0000,1.7988,1
6.1800,-0.408002,1.407821,8.0000,1.6524,1
6.2000,-0.407636,1.407821,8.0000,1.5069,1
6.2200,-0.558505,1.407821,8.0000,1.1378,1
6.2400,-0.394057,1.407821,8.0000,1.2193,1
6.2600,-0.393571,1.407821,8.0000,1.0785,1
6.2800,-0.146804,1.407821,8.0000,1.6222,1
6.3000,-0.412571,1.407821,8.0000,1.4623,1
6.3200,-0.123490,1.407821,8.0000,1.3026,1
6.3400,-0.123293,1.407821,8.0000,1.1430,1
6.3600,-0.285856,1.407821,8.0000,1.7207,1
6.3800,-0.285536,1.407821,8.0000,1.5751,1
6.4000,-0.285189,1.407821,8.0000,1.4311,1
6.4200,-0.067321,1.407821,8.0000,1.8990,1
6.4400,-0.067239,1.407821,8.0000,1.7390,1
6.4600,-0.067151,1.407821,8.0000,1.5790,1
