t,event,detail
5.7600,REPLAN,goal_moved
5.7800,REPLAN,goal_moved
5.8000,REPLAN,goal_moved
5.8200,REPLAN,goal_moved
5.8400,REPLAN,goal_moved
5.8600,REPLAN,goal_moved
5.8800,REPLAN,goal_moved
5.9000,REPLAN,goal_moved
5.9200,REPLAN,goal_moved
5.9400,REPLAN,goal_moved
5.9600,REPLAN,goal_moved
5.9800,REPLAN,goal_moved
6.0000,REPLAN,goal_moved
6.0200,REPLAN,goal_moved
6.0400,REPLAN,goal_moved
6.0600,STATUS,x=23.88 y=33.54 v=8.00 phase=0 wp=1
6.0600,REPLAN,goal_moved
6.0800,REPLAN,goal_moved
6.1000,REPLAN,goal_moved
6.1200,REPLAN,goal_moved
0.0000,NO_PATH,goal_moved:astar_fail
6.1600,REPLAN,goal_moved
6.1800,REPLAN,goal_moved
6.2000,REPLAN,goal_moved
6.2200,REPLAN,goal_moved
6.2400,REPLAN,goal_moved
6.2800,REPLAN,goal_moved
6.3000,REPLAN,goal_moved
6.3200,REPLAN,goal_moved
6.3400,REPLAN,goal_moved
6.3600,REPLAN,goal_moved
6.3800,REPLAN,goal_moved
6.4000,REPLAN,goal_moved
6.4200,REPLAN,goal_moved
6.4400,REPLAN,goal_moved
6.4600,REPLAN,goal_moved
6.4800,REPLAN,goal_moved
6.5000,REPLAN,goal_moved
6.5200,REPLAN,goal_moved
6.5400,REPLAN,goal_moved
6.5600,REPLAN,goal_moved
6.5800,REPLAN,goal_moved
6.6000,REPLAN,goal_moved
6.6200,REPLAN,goal_moved
6.6400,REPLAN,goal_moved
6.6600,REPLAN,goal_moved
6.6800,REPLAN,goal_moved
6.7000,REPLAN,goal_moved
6.7200,REPLAN,goal_moved
6.7400,REPLAN,goal_moved
6.7600,REPLAN,goal_moved
6.7800,REPLAN,goal_moved
6.8000,REPLAN,goal_moved
6.8200,REPLAN,goal_moved
6.8400,REPLAN,goal_moved
6.8600,REPLAN,goal_moved
6.8800,REPLAN,goal_moved
6.9000,REPLAN,goal_moved
6.9200,REPLAN,goal_moved
6.9400,REPLAN,goal_moved
6.9600,REPLAN,goal_moved
6.9800,REPLAN,goal_moved
7.0000,REPLAN,goal_moved
7.0200,REPLAN,goal_moved
7.0400,REPLAN,goal_moved
7.0600,REPLAN,goal_moved
7.0800,REPLAN,goal_moved
7.1000,REPLAN,goal_moved
7.1200,REPLAN,goal_moved
7.1400,REPLAN,goal_moved
7.1600,REPLAN,goal_moved
7.1800,REPLAN,goal_moved
7.2000,REPLAN,goal_moved
7.2200,REPLAN,goal_moved
7.2400,REPLAN,goal_moved
7.2600,REPLAN,goal_moved
7.2800,REPLAN,goal_moved
7.3000,REPLAN,goal_moved
7.3200,REPLAN,goal_moved
7.3400,REPLAN,goal_moved
7.3600,REPLAN,goal_moved
7.3800,REPLAN,goal_moved
7.4200,REPLAN,goal_moved
7.4400,REPLAN,goal_moved
7.4600,REPLAN,goal_moved
7.4800,REPLAN,goal_moved
7.5000,REPLAN,goal_moved
7.5200,REPLAN,goal_moved
7.5400,REPLAN,goal_moved
7.5600,REPLAN,goal_moved
7.5800,REPLAN,goal_moved
7.6000,REPLAN,goal_moved
7.6200,REPLAN,goal_moved
7.6400,REPLAN,goal_moved
7.6600,REPLAN,goal_moved
7.7000,REPLAN,goal_moved
7.7200,REPLAN,goal_moved
7.7400,REPLAN,goal_moved
7.7600,REPLAN,goal_moved
7.7800,REPLAN,goal_moved
7.8000,REPLAN,goal_moved
7.8200,REPLAN,goal_moved
7.8400,REPLAN,goal_moved
7.8600,REPLAN,goal_moved
7.8800,REPLAN,goal_moved
7.9000,REPLAN,goal_moved
7.9200,REPLAN,goal_moved
7.9400,REPLAN,goal_moved
7.9600,REPLAN,goal_moved
7.9800,REPLAN,goal_moved
8.0000,REPLAN,goal_moved
8.0200,REPLAN,goal_moved
8.0400,REPLAN,goal_moved
8.0600,REPLAN,goal_moved
8.0800,STATUS,x=35.28 y=44.73 v=8.00 phase=0 wp=1
8.0800,REPLAN,goal_moved
8.1000,REPLAN,goal_moved
8.1200,REPLAN,goal_moved
8.1400,REPLAN,goal_moved
8.1600,REPLAN,goal_moved
8.1800,REPLAN,goal_moved
8.2000,REPLAN,goal_moved
8.2200,REPLAN,goal_moved
8.2400,REPLAN,goal_moved
8.2600,REPLAN,goal_moved
8.2800,REPLAN,goal_moved
8.3000,REPLAN,goal_moved
8.3200,REPLAN,goal_moved
8.3400,REPLAN,goal_moved
8.3600,REPLAN,goal_moved
8.3800,REPLAN,goal_moved
8.4000,REPLAN,goal_moved
8.4200,REPLAN,goal_moved
8.4400,REPLAN,goal_moved
8.4600,REPLAN,goal_moved
8.4800,REPLAN,goal_moved
8.5000,REPLAN,goal_moved
8.5200,REPLAN,goal_moved
