t,x,y,yaw,v
3.9000,22.8440,16.5559,1.192570,8.0000
3.9200,22.9006,16.7056,1.209521,8.0000
3.9400,22.9546,16.8562,1.226446,8.0000
3.9600,23.0061,17.0077,1.243341,8.0000
3.9800,23.0550,17.1601,1.260204,8.0000
4.0000,23.1015,17.3131,1.275380,8.0000
4.0200,23.1458,17.4669,1.290536,8.0000
4.0400,23.1877,17.6213,1.305670,8.0000
4.0600,23.2273,17.7763,1.320780,8.0000
4.0800,23.2646,17.9319,1.335864,8.0000
4.1000,23.2995,18.0881,1.350919,8.0000
4.1200,23.3324,18.2446,1.363495,8.0000
4.1400,23.3633,18.4016,1.376055,8.0000
4.1600,23.3923,18.5590,1.388596,8.0000
4.1800,23.4194,18.7167,1.401118,8.0000
4.2000,23.4444,18.8747,1.413618,8.0000
4.2200,23.4675,19.0330,1.426095,8.0000
4.2400,23.4890,19.1916,1.435908,8.0000
4.2600,23.5090,19.3503,1.445708,8.0000
4.2800,23.5274,19.5093,1.455494,8.0000
4.3000,23.5442,19.6684,1.465265,8.0000
4.3200,23.5595,19.8276,1.475019,8.0000
4.3400,23.5733,19.9870,1.484755,8.0000
4.3600,23.5855,20.1466,1.494472,8.0000
4.3800,23.5965,20.3062,1.501513,8.0000
4.4000,23.6065,20.4659,1.508544,8.0000
4.4200,23.6153,20.6256,1.515564,8.0000
4.4400,23.6230,20.7855,1.522572,8.0000
4.4600,23.6296,20.9453,1.529567,8.0000
4.4800,23.6351,21.1052,1.536549,8.0000
4.5000,23.6398,21.2652,1.541275,8.0000
4.5200,23.6438,21.4251,1.545994,8.0000
4.5400,23.6470,21.5851,1.550706,8.0000
4.5600,23.6495,21.7451,1.555411,8.0000
4.5800,23.6512,21.9051,1.560107,8.0000
4.6000,23.6522,22.0650,1.564793,8.0000
4.6200,23.6526,22.2250,1.567698,8.0000
4.6400,23.6527,22.3850,1.570599,8.0000
4.6600,23.6522,22.5450,1.573496,8.0000
4.6800,23.6514,22.7050,1.576388,8.0000
4.7000,23.6500,22.8650,1.579275,8.0000
4.7200,23.6482,23.0250,1.582156,8.0000
4.7400,23.6461,23.1850,1.583710,8.0000
4.7600,23.6438,23.3450,1.585261,8.0000
4.7800,23.6412,23.5050,1.586811,8.0000
4.8000,23.6384,23.6650,1.588357,8.0000
4.8200,23.6354,23.8249,1.589901,8.0000
4.8400,23.6321,23.9849,1.591443,8.0000
4.8600,23.6285,24.1448,1.592981,8.0000
4.8800,23.6249,24.3048,1.593518,8.0000
4.9000,23.6212,24.4648,1.594055,8.0000
4.9200,23.6174,24.6247,1.594590,8.0000
4.9400,23.6135,24.7847,1.595125,8.0000
4.9600,23.6095,24.9446,1.595659,8.0000
4.9800,23.6054,25.1046,1.596192,8.0000
5.0000,23.6014,25.2645,1.596089,8.0000
5.0200,23.5973,25.4245,1.595986,8.0000
5.0400,23.5933,25.5844,1.595883,8.0000
5.0600,23.5893,25.7444,1.595780,8.0000
5.0800,23.5854,25.9043,1.595678,8.0000
5.1000,23.5814,26.0643,1.595576,8.0000
5.1200,23.5775,26.2242,1.595112,8.0000
5.1400,23.5737,26.3842,1.594649,8.0000
5.1600,23.5699,26.5441,1.594186,8.0000
5.1800,23.5663,26.7041,1.593724,8.0000
5.2000,23.5627,26.8641,1.593263,8.0000
5.2200,23.5592,27.0240,1.592803,8.0000
5.2400,23.5557,27.1840,1.592174,8.0000
5.2600,23.5524,27.3439,1.591547,8.0000
5.2800,23.5492,27.5039,1.590920,8.0000
5.3000,23.5461,27.6639,1.590295,8.0000
5.3200,23.5431,27.8239,1.589670,8.0000
5.3400,23.5401,27.9838,1.589047,8.0000
5.3600,23.5373,28.1438,1.588425,8.0000
5.3800,23.5346,28.3038,1.587759,8.0000
5.4000,23.5320,28.4638,1.587095,8.0000
5.4200,23.5295,28.6237,1.586431,8.0000
5.4400,23.5271,28.7837,1.585768,8.0000
5.4600,23.5248,28.9437,1.585107,8.0000
5.4800,23.5226,29.1037,1.584447,8.0000
5.5000,23.5205,29.2637,1.583828,8.0000
5.5200,23.5186,29.4237,1.583210,8.0000
5.5400,23.5167,29.5836,1.582593,8.0000
5.5600,23.5149,29.7436,1.581977,8.0000
5.5800,23.5132,29.9036,1.581362,8.0000
5.6000,23.5116,30.0636,1.580748,8.0000
5.6200,23.5101,30.2236,1.580219,8.0000
5.6400,23.5087,30.3836,1.579690,8.0000
5.6600,23.5073,30.5436,1.579163,8.0000
5.6800,23.5061,30.7036,1.578636,8.0000
5.7000,23.5049,30.8636,1.578110,8.0000
5.7200,23.5038,31.0236,1.577585,8.0000
5.7400,23.5052,31.1836,1.561965,8.0000
5.7600,23.5091,31.3435,1.546364,8.0000
5.7800,23.5155,31.5034,1.530782,8.0000
