t,target_x,target_y,target_vx,target_vy
4.9400,64.5900,54.4700,-1.5000,0.5000
4.9600,64.5600,54.4800,-1.5000,0.5000
4.9800,64.5300,54.4900,-1.5000,0.5000
5.0000,64.5000,54.5000,-1.5000,0.5000
5.0200,64.4700,54.5100,-1.5000,0.5000
5.0400,64.4400,54.5200,-1.5000,0.5000
5.0600,64.4100,54.5300,-1.5000,0.5000
5.0800,64.3800,54.5400,-1.5000,0.5000
5.1000,64.3500,54.5500,-1.5000,0.5000
5.1200,64.3200,54.5600,-1.5000,0.5000
5.1400,64.2900,54.5700,-1.5000,0.5000
5.1600,64.2600,54.5800,-1.5000,0.5000
5.1800,64.2300,54.5900,-1.5000,0.5000
5.2000,64.2000,54.6000,-1.5000,0.5000
5.2200,64.1700,54.6100,-1.5000,0.5000
5.2400,64.1400,54.6200,-1.5000,0.5000
5.2600,64.1100,54.6300,-1.5000,0.5000
5.2800,64.0800,54.6400,-1.5000,0.5000
5.3000,64.0500,54.6500,-1.5000,0.5000
5.3200,64.0200,54.6600,-1.5000,0.5000
5.3400,63.9900,54.6700,-1.5000,0.5000
5.3600,63.9600,54.6800,-1.5000,0.5000
5.3800,63.9300,54.6900,-1.5000,0.5000
5.4000,63.9000,54.7000,-1.5000,0.5000
5.4200,63.8700,54.7100,-1.5000,0.5000
5.4400,63.8400,54.7200,-1.5000,0.5000
5.4600,63.8100,54.7300,-1.5000,0.5000
5.4800,63.7800,54.7400,-1.5000,0.5000
5.5000,63.7500,54.7500,-1.5000,0.5000
5.5200,63.7200,54.7600,-1.5000,0.5000
5.5400,63.6900,54.7700,-1.5000,0.5000
5.5600,63.6600,54.7800,-1.5000,0.5000
5.5800,63.6300,54.7900,-1.5000,0.5000
5.6000,63.6000,54.8000,-1.5000,0.5000
5.6200,63.5700,54.8100,-1.5000,0.5000
5.6400,63.5400,54.8200,-1.5000,0.5000
5.6600,63.5100,54.8300,-1.5000,0.5000
5.6800,63.4800,54.8400,-1.5000,0.5000
5.7000,63.4500,54.8500,-1.5000,0.5000
5.7200,63.4200,54.8600,-1.5000,0.5000
5.7400,63.3900,54.8700,-1.5000,0.5000
5.7600,63.3600,54.8800,-1.5000,0.5000
5.7800,63.3300,54.8900,-1.5000,0.5000
5.8000,63.3000,54.9000,-1.5000,0.5000
5.8200,63.2700,54.9100,-1.5000,0.5000
5.8400,63.2400,54.9200,-1.5000,0.5000
5.8600,63.2100,54.9300,-1.5000,0.5000
5.8800,63.1800,54.9400,-1.5000,0.5000
5.9000,63.1500,54.9500,-1.5000,0.5000
5.9200,63.1200,54.9600,-1.5000,0.5000
5.9400,63.0900,54.9700,-1.5000,0.5000
5.9600,63.0600,54.9800,-1.5000,0.5000
5.9800,63.0300,54.9900,-1.5000,0.5000
6.0000,63.0000,55.0000,-1.5000,0.5000
6.0200,62.9700,55.0100,-1.5000,0.5000
6.0400,62.9400,55.0200,-1.5000,0.5000
6.0600,62.9100,55.0300,-1.5000,0.5000
6.0800,62.8800,55.0400,-1.5000,0.5000
6.1000,62.8500,55.0500,-1.5000,0.5000
6.1200,62.8200,55.0600,-1.5000,0.5000
6.1400,62.7900,55.0700,-1.5000,0.5000
6.1600,62.7600,55.0800,-1.5000,0.5000
6.1800,62.7300,55.0900,-1.5000,0.5000
6.2000,62.7000,55.1000,-1.5000,0.5000
6.2200,62.6700,55.1100,-1.5000,0.5000
6.2400,62.6400,55.1200,-1.5000,0.5000
6.2600,62.6100,55.1300,-1.5000,0.5000
6.2800,62.5800,55.1400,-1.5000,0.5000
6.3000,62.5500,55.1500,-1.5000,0.5000
6.3200,62.5200,55.1600,-1.5000,0.5000
6.3400,62.4900,55.1700,-1.5000,0.5000
6.3600,62.4600,55.1800,-1.5000,0.5000
6.3800,62.4300,55.1900,-1.5000,0.5000
6.4000,62.4000,55.2000,-1.5000,0.5000
6.4200,62.3700,55.2100,-1.5000,0.5000
6.4400,62.3400,55.2200,-1.5000,0.5000
6.4600,62.3100,55.2300,-1.5000,0.5000
6.4800,62.2800,55.2400,-1.5000,0.5000
6.5000,62.2500,55.2500,-1.5000,0.5000
6.5200,62.2200,55.2600,-1.5000,0.5000
6.5400,62.1900,55.2700,-1.5000,0.5000
6.5600,62.1600,55.2800,-1.5000,0.5000
6.5800,62.1300,55.2900,-1.5000,0.5000
6.6000,62.1000,55.3000,-1.5000,0.5000
6.6200,62.0700,55.3100,-1.5000,0.5000
6.6400,62.0400,55.3200,-1.5000,0.5000
6.6600,62.0100,55.3300,-1.5000,0.5000
6.6800,61.9800,55.3400,-1.5000,0.5000
6.7000,61.9500,55.3500,-1.5000,0.5000
6.7200,61.9200,55.3600,-1.5000,0.5000
6.7400,61.8900,55.3700,-1.5000,0.5000
6.7600,61.8600,55.3800,-1.5000,0.5000
6.7800,61.8300,55.3900,-1.5000,0.5000
6.8000,61.8000,55.4000,-1.5000,0.5000
6.8200,61.7700,55.4100,-1.5000,0.5000
6.8400,61.7400,55.4200,-1.5000,0.5000
6.8600,61.7100,55.4300,-1.5000,0.5000
6.8800,61.6800,55.4400,-1.5000,0.5000
6.9000,61.6500,55.4500,-1.5000,0.5000
6.9200,61.6200,55.4600,-1.5000,0.5000
6.9400,61.5900,55.4700,-1.5000,0.5000
6.9600,61.5600,55.4800,-1.5000,0.5000
6.9800,61.5300,55.4900,-1.5000,0.5000
7.0000,61.5000,55.5000,-1.5000,0.5000
7.0200,61.4700,55.5100,-1.5000,0.5000
7.0400,61.4400,55.5200,-1.5000,0.5000
7.0600,61.4100,55.5300,-1.5000,0.5000
7.0800,61.3800,55.5400,-1.5000,0.5000
