t,x,y,yaw,v
6.8400,23.9585,29.2730,0.971270,5.2000
6.8600,24.0171,29.3589,0.971270,5.2000
6.8800,24.0758,29.4447,0.971270,5.2000
6.9000,24.1345,29.5306,0.971270,5.2000
6.9200,24.1932,29.6165,0.971270,5.2000
6.9400,24.2519,29.7023,0.971270,5.2000
6.9600,24.3106,29.7882,0.971270,5.2000
6.9800,24.3692,29.8740,0.971270,5.2000
7.0000,24.4279,29.9599,0.971270,5.2000
7.0200,24.4866,30.0458,0.971270,5.2000
7.0400,24.5453,30.1316,0.971270,5.2000
7.0600,24.6040,30.2175,0.971270,5.2000
7.0800,24.6626,30.3034,0.971270,5.2000
7.1000,24.7213,30.3892,0.971270,5.2000
7.1200,24.7800,30.4751,0.971270,5.2000
7.1400,24.8387,30.5609,0.971270,5.2000
7.1600,24.8974,30.6468,0.971270,5.2000
7.1800,24.9561,30.7327,0.971270,5.2000
7.2000,25.0147,30.8185,0.971270,5.2000
7.2200,25.0734,30.9044,0.971270,5.2000
7.2400,25.1321,30.9903,0.971270,5.2000
7.2600,25.1908,31.0761,0.971270,5.2000
7.2800,25.2495,31.1620,0.971270,5.2000
7.3000,25.3081,31.2478,0.971270,5.2000
7.3200,25.3668,31.3337,0.971270,5.2000
7.3400,25.4255,31.4196,0.971270,5.2000
7.3600,25.4842,31.5054,0.971270,5.2000
7.3800,25.5429,31.5913,0.971270,5.2000
7.4000,25.6016,31.6772,0.971270,5.2000
7.4200,25.6602,31.7630,0.971270,5.2000
7.4400,25.7189,31.8489,0.971270,5.2000
7.4600,25.7776,31.9347,0.971270,5.2000
7.4800,25.8363,32.0206,0.971270,5.2000
7.5000,25.8950,32.1065,0.971270,5.2000
7.5200,25.9537,32.1923,0.971270,5.2000
7.5400,26.0123,32.2782,0.971270,5.2000
7.5600,26.0710,32.3641,0.971270,5.2000
7.5800,26.1297,32.4499,0.971270,5.2000
7.6000,26.1884,32.5358,0.971270,5.2000
7.6200,26.2471,32.6216,0.971270,5.2000
7.6400,26.3057,32.7075,0.971270,5.2000
7.6600,26.3644,32.7934,0.971270,5.2000
7.6800,26.4231,32.8792,0.971270,5.2000
7.7000,26.4818,32.9651,0.971270,5.2000
7.7200,26.5405,33.0510,0.971270,5.2000
7.7400,26.5992,33.1368,0.971270,5.2000
7.7600,26.6578,33.2227,0.971270,5.2000
7.7800,26.7165,33.3086,0.971270,5.2000
7.8000,26.7752,33.3944,0.971270,5.2000
7.8200,26.8339,33.4803,0.971270,5.2000
7.8400,26.8926,33.5661,0.971270,5.2000
7.8600,26.9512,33.6520,0.971270,5.2000
7.8800,27.0099,33.7379,0.971270,5.2000
7.9000,27.0686,33.8237,0.971270,5.2000
7.9200,27.1273,33.9096,0.971270,5.2000
7.9400,27.1860,33.9955,0.971270,5.2000
7.9600,27.2447,34.0813,0.971270,5.2000
7.9800,27.3033,34.1672,0.971270,5.2000
8.0000,27.3620,34.2530,0.971270,5.2000
