t,steer_rad,accel,v_ref,cte,wp_idx
3.8600,0.000000,0.663887,5.2000,13.1458,1
3.8800,0.000000,0.663887,5.2000,13.2491,1
3.9000,0.000000,0.663887,5.2000,13.3523,1
3.9200,0.000000,0.663887,5.2000,13.4556,1
3.9400,0.000000,0.663887,5.2000,13.5589,1
3.9600,0.000000,0.663887,5.2000,13.6622,1
3.9800,0.000000,0.663887,5.2000,13.7656,1
4.0000,0.000000,0.663887,5.2000,13.8689,1
4.0200,0.000000,0.663887,5.2000,13.9722,1
4.0400,0.000000,0.663887,5.2000,14.0756,1
4.0600,0.000000,0.663887,5.2000,14.1789,1
4.0800,0.000000,0.663887,5.2000,14.2823,1
4.1000,0.000000,0.663887,5.2000,14.3857,1
4.1200,0.000000,0.663887,5.2000,14.4891,1
4.1400,0.000000,0.663887,5.2000,14.5925,1
4.1600,0.000000,0.663887,5.2000,14.6959,1
4.1800,0.000000,0.663887,5.2000,14.7993,1
4.2000,0.000000,0.663887,5.2000,14.9027,1
4.2200,0.000000,0.663887,5.2000,15.0062,1
4.2400,0.000000,0.663887,5.2000,15.1096,1
4.2600,0.000000,0.663887,5.2000,15.2130,1
4.2800,0.000000,0.663887,5.2000,15.3165,1
4.3000,0.000000,0.663887,5.2000,15.4199,1
4.3200,0.000000,0.663887,5.2000,15.5234,1
4.3400,0.000000,0.663887,5.2000,15.6269,1
4.3600,0.000000,0.663887,5.2000,15.7304,1
4.3800,0.000000,0.663887,5.2000,15.8339,1
4.4000,0.000000,0.663887,5.2000,15.9374,1
4.4200,0.000000,0.663887,5.2000,16.0409,1
4.4400,0.000000,0.663887,5.2000,16.1444,1
4.4600,0.000000,0.663887,5.2000,16.2479,1
4.4800,0.000000,0.663887,5.2000,16.3514,1
4.5000,0.000000,0.663887,5.2000,16.4549,1
4.5200,0.000000,0.663887,5.2000,16.5585,1
4.5400,0.000000,0.663887,5.2000,16.6620,1
4.5600,0.000000,0.663887,5.2000,16.7655,1
4.5800,0.000000,0.663887,5.2000,16.8691,1
4.6000,0.000000,0.663887,5.2000,16.9726,1
4.6200,0.000000,0.663887,5.2000,17.0762,1
4.6400,0.000000,0.663887,5.2000,17.1798,1
4.6600,0.000000,0.663887,5.2000,17.2833,1
