t,x,y,yaw,v
4.7600,12.3925,10.2094,0.751181,0.0000
4.7800,12.3935,10.2104,0.751181,0.0000
4.8000,12.3945,10.2113,0.751181,0.0000
4.8200,12.3955,10.2123,0.751181,0.0000
4.8400,12.3966,10.2132,0.751181,0.0000
4.8600,12.3976,10.2142,0.751181,0.0000
4.8800,12.3986,10.2152,0.751181,0.0000
4.9000,12.3996,10.2161,0.751181,0.0000
4.9200,12.4007,10.2171,0.751181,0.0000
4.9400,12.4017,10.2180,0.751181,0.0000
4.9600,12.4027,10.2190,0.751181,0.0000
4.9800,12.4037,10.2199,0.751181,0.0000
5.0000,12.4048,10.2209,0.751181,0.0000
5.0200,12.4058,10.2218,0.751181,0.0000
5.0400,12.4068,10.2228,0.751181,0.0000
5.0600,12.4078,10.2238,0.751181,0.0000
5.0800,12.4088,10.2247,0.751181,0.0000
5.1000,12.4099,10.2257,0.751181,0.0000
5.1200,12.4109,10.2266,0.751181,0.0000
5.1400,12.4119,10.2276,0.751181,0.0000
5.1600,12.4129,10.2285,0.751181,0.0000
5.1800,12.4140,10.2295,0.751181,0.0000
5.2000,12.4150,10.2304,0.751181,0.0000
5.2200,12.4160,10.2314,0.751181,0.0000
5.2400,12.4170,10.2324,0.751181,0.0000
5.2600,12.4181,10.2333,0.751181,0.0000
5.2800,12.4191,10.2343,0.751181,0.0000
5.3000,12.4201,10.2352,0.751181,0.0000
5.3200,12.4211,10.2362,0.751181,0.0000
5.3400,12.4221,10.2371,0.751181,0.0000
5.3600,12.4232,10.2381,0.751181,0.0000
5.3800,12.4242,10.2390,0.751181,0.0000
5.4000,12.4252,10.2400,0.751181,0.0000
5.4200,12.4262,10.2410,0.751181,0.0000
5.4400,12.4273,10.2419,0.751181,0.0000
5.4600,12.4283,10.2429,0.751181,0.0000
5.4800,12.4293,10.2438,0.751181,0.0000
5.5000,12.4303,10.2448,0.751181,0.0000
5.5200,12.4314,10.2457,0.751181,0.0000
5.5400,12.4324,10.2467,0.751181,0.0000
5.5600,12.4334,10.2476,0.751181,0.0000
5.5800,12.4344,10.2486,0.751181,0.0000
5.6000,12.4354,10.2496,0.751181,0.0000
5.6200,12.4365,10.2505,0.751181,0.0000
5.6400,12.4375,10.2515,0.751181,0.0000
