t,steer_rad,accel,v_ref,cte
4.0400,0.000000,3.500000,8.0000,8.2965
4.0600,0.000000,3.500000,8.0000,8.2979
4.0800,0.000000,3.500000,8.0000,8.2993
4.1000,0.000000,3.500000,8.0000,8.3007
4.1200,0.000000,3.500000,8.0000,8.3021
4.1400,0.000000,3.500000,8.0000,8.3035
4.1600,0.000000,3.500000,8.0000,8.3048
4.1800,0.000000,3.500000,8.0000,8.3062
4.2000,0.000000,3.500000,8.0000,8.3076
4.2200,0.000000,3.500000,8.0000,8.3090
4.2400,0.000000,3.500000,8.0000,8.3104
4.2600,0.000000,3.500000,8.0000,8.3118
4.2800,0.000000,3.500000,8.0000,8.3132
4.3000,0.000000,3.500000,8.0000,8.3145
4.3200,0.000000,3.500000,8.0000,8.3159
4.3400,0.000000,3.500000,8.0000,8.3173
4.3600,0.000000,3.500000,8.0000,8.3187
4.3800,0.000000,3.500000,8.0000,8.3201
4.4000,0.000000,3.500000,8.0000,8.3215
4.4200,0.000000,3.500000,8.0000,8.3228
4.4400,0.000000,3.500000,8.0000,8.3242
4.4600,0.000000,3.500000,8.0000,8.3256
4.4800,0.000000,3.500000,8.0000,8.3270
4.5000,0.000000,3.500000,8.0000,8.3284
4.5200,0.000000,3.500000,8.0000,8.3298
4.5400,0.000000,3.500000,8.0000,8.3311
4.5600,0.000000,3.500000,8.0000,8.3325
4.5800,0.000000,3.500000,8.0000,8.3339
4.6000,0.000000,3.500000,8.0000,8.3353
4.6200,0.000000,3.500000,8.0000,8.3367
4.6400,0.000000,3.500000,8.0000,8.3381
4.6600,0.000000,3.500000,8.0000,8.3394
4.6800,0.000000,3.500000,8.0000,8.3408
4.7000,0.000000,3.500000,8.0000,8.3422
4.7200,0.000000,3.500000,8.0000,8.3436
4.7400,0.000000,3.500000,8.0000,8.3450
4.7600,0.000000,3.500000,8.0000,8.3464
4.7800,0.000000,3.500000,8.0000,8.3477
4.8000,0.000000,3.500000,8.0000,8.3491
4.8200,0.000000,3.500000,8.0000,8.3505
4.8400,0.000000,3.500000,8.0000,8.3519
4.8600,0.000000,3.500000,8.0000,8.3533
4.8800,0.000000,3.500000,8.0000,8.3547
4.9000,0.000000,3.500000,8.0000,8.3560
4.9200,0.000000,3.500000,8.0000,8.3574
4.9400,0.000000,3.500000,8.0000,8.3588
4.9600,0.000000,3.500000,8.0000,8.3602
4.9800,0.000000,3.500000,8.0000,8.3616
5.0000,0.000000,3.500000,8.0000,8.3630
5.0200,0.000000,3.500000,8.0000,8.3644
5.0400,0.000000,3.500000,8.0000,8.3657
5.0600,0.000000,3.500000,8.0000,8.3671
5.0800,0.000000,3.500000,8.0000,8.3685
5.1000,0.000000,3.500000,8.0000,8.3699
5.1200,0.000000,3.500000,8.0000,8.3713
5.1400,0.000000,3.500000,8.0000,8.3727
5.1600,0.000000,3.500000,8.0000,8.3740
5.1800,0.000000,3.500000,8.0000,8.3754
5.2000,0.000000,3.500000,8.0000,8.3768
5.2200,0.000000,3.500000,8.0000,8.3782
5.2400,0.000000,3.500000,8.0000,8.3796
5.2600,0.000000,3.500000,8.0000,8.3810
5.2800,0.000000,3.500000,8.0000,8.3823
5.3000,0.000000,3.500000,8.0000,8.3837
5.3200,0.000000,3.500000,8.0000,8.3851
5.3400,0.000000,3.500000,8.0000,8.3865
5.3600,0.000000,3.500000,8.0000,8.3879
5.3800,0.000000,3.500000,8.0000,8.3893
5.4000,0.000000,3.500000,8.0000,8.3907
5.4200,0.000000,3.500000,8.0000,8.3920
5.4400,0.000000,3.500000,8.0000,8.3934
5.4600,0.000000,3.500000,8.0000,8.3948
5.4800,0.000000,3.500000,8.0000,8.3962
5.5000,0.000000,3.500000,8.0000,8.3976
5.5200,0.000000,3.500000,8.0000,8.3990
5.5400,0.000000,3.500000,8.0000,8.4003
5.5600,0.000000,3.500000,8.0000,8.4017
5.5800,0.000000,3.500000,8.0000,8.4031
5.6000,0.000000,3.500000,8.0000,8.4045
5.6200,0.000000,3.500000,8.0000,8.4059
5.6400,0.000000,3.500000,8.0000,8.4073
5.6600,0.000000,3.500000,8.0000,8.4086
5.6800,0.000000,3.500000,8.0000,8.4100
5.7000,0.000000,3.500000,8.0000,8.4114
5.7200,0.000000,3.500000,8.0000,8.4128
5.7400,0.000000,3.500000,8.0000,8.4142
5.7600,0.000000,3.500000,8.0000,8.4156
5.7800,0.000000,3.500000,8.0000,8.4169
5.8000,0.000000,3.500000,8.0000,8.4183
5.8200,0.000000,3.500000,8.0000,8.4197
5.8400,0.000000,3.500000,8.0000,8.4211
5.8600,0.000000,3.500000,8.0000,8.4225
5.8800,0.000000,3.500000,8.0000,8.4239
5.9000,0.000000,3.500000,8.0000,8.4253
5.9200,0.000000,3.500000,8.0000,8.4266
5.9400,0.000000,3.500000,8.0000,8.4280
5.9600,0.000000,3.500000,8.0000,8.4294
5.9800,0.000000,3.500000,8.0000,8.4308
